transaction_id,utr_number,batch_id,scheme_name,rail_operator,originating_country,currency_code,transaction_type,amount,fee_charged,net_amount,status,failure_reason,initiated_at,completed_at,latency_ms,sender_account,sender_bank,receiver_account,receiver_bank,device_type,auth_method,merchant_category,is_cross_border,edge_case_flag,edge_case_note,data_classification,synthetic_version,do_not_use_in_prod
872381a5-d00d-4793-82b4-b17c74d05b0e,ZCBGG79H1GJMN7MKXDVB5,BATCH_20250531_52,FAST,BKM,TR,USD,P2P,1208.09,0.0,1208.09,TIMED_OUT,INSUFFICIENT_FUNDS,2025-05-31T20:51:23,,31079,XXXX45527547,FNB_ZA,XXXX07048915,AXIS_BANK,MOBILE_APP,HARDWARE_TOKEN,,False,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
75cc9bd5-9949-4120-be92-33a0983290c7,8767KF4Y48CYCCGM595B,BATCH_20250509_33,TIPS,Bank of Tanzania,TZ,USD,P2B,278.03,0.0,278.03,COMPLETED,,2025-05-09T12:37:37,2025-05-09T12:37:42.705000,5705,XXXX86205536,BARCLAYS,XXXX72290020,DBS_BANK,POS_TERMINAL,HARDWARE_TOKEN,UTILITIES,True,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
2e7b523b-73b5-463b-bb8a-6c7880741b63,FXZLPEW92HQTK85RH1T0592G,BATCH_20250430_92,Oasis,FTCI,KR,USD,P2B,15915.15,26.34,15888.81,COMPLETED,,2025-04-30T13:00:45,2025-04-30T13:00:46.524000,1524,XXXX02034601,ICICI_BANK,XXXX20311111,STATE_BANK,API_DIRECT,OTP,TRANSPORT,False,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
26d699c1-bee7-439e-bf62-b4a47a8f0dcd,LCFL3WXYBU1JRKU1EF32GEX,BATCH_20250407_76,InstaPay,BancNet,PH,USD,P2P,444.56,0.0,444.56,COMPLETED,,2025-04-07T18:29:48,2025-04-07T18:29:56.548000,8548,XXXX41338809,COMMBANK,XXXX97949487,ITAU_BANK,USSD,HARDWARE_TOKEN,,False,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
b2fbeee6-00ba-4857-912a-132cba2725f8,EV1KAPY5WCGTJEF2M48MYHKH,BATCH_20250315_14,Vipps,Vipps AS,NO,USD,B2B,42128.03,0.0,42128.03,TIMED_OUT,DAILY_LIMIT_EXCEEDED,2025-03-15T20:03:52,,33933,XXXX79274472,JP_MORGAN,XXXX94087405,STATE_BANK,ATM,BIOMETRIC,HEALTHCARE,False,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
96fa226b-a71b-4392-b020-7333ac1e72e0,DD5LT72519WR5WJMZA82106H,BATCH_20250319_62,SPEI,Banxico,MX,MXN,P2P,2929.78,0.0,2929.78,TIMED_OUT,INSUFFICIENT_FUNDS,2025-03-19T04:48:26,,30278,XXXX04367402,JP_MORGAN,XXXX91162869,ITAU_BANK,WEB_BROWSER,NONE,,False,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
2a005d39-0afb-4984-b2ed-29919c47b59a,KGV0V6W0R1ERJNNCTHTUR5UY,BATCH_20250523_57,SARIE,Saudi Payments,SA,USD,B2B,13611.13,2.35,13608.78,COMPLETED,,2025-05-23T13:09:29,2025-05-23T13:09:33.196000,4196,XXXX96703313,PKO_BP,XXXX62235651,LLOYDS,USSD,HARDWARE_TOKEN,RETAIL,False,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
83d15ea3-f77b-4073-96e0-3eab4178deb2,JLN27YF9C9VB61TKB,BATCH_20250530_06,Virement Instantane,Banque de France,FR,USD,P2B,36038.34,0.0,36038.34,COMPLETED,,2025-05-30T13:25:40,2025-05-30T13:25:46.120000,6120,XXXX72246503,BARCLAYS,XXXX97999603,BNP_PARIBAS,MOBILE_APP,HARDWARE_TOKEN,UTILITIES,False,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
5faf3004-f79f-4d4a-9763-c399083dae55,FHH60XAKRGR5LT673YH3LAZQ,BATCH_20250328_56,Vipps,Vipps AS,NO,USD,P2P,184.79,0.0,184.79,FAILED,BANK_OFFLINE,2025-03-28T20:31:15,,2532,XXXX65315929,ITAU_BANK,XXXX10856054,BARCLAYS,WEB_BROWSER,MPIN,,False,AFTER_HOURS_LEGACY_BANK,Initiated at 03:00 local — legacy bank offline window,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
2409207f-8c13-4e39-94f1-e40a8a093c12,T6RFE8ZMT6QH4WSGXUK9,BATCH_20250521_81,Faster Payments,Pay.UK,GB,GBP,P2P,626.39,0.0,626.39,TIMED_OUT,ACCOUNT_FROZEN,2025-05-21T04:04:33,,33272,XXXX19029013,MAYBANK,XXXX87839672,JP_MORGAN,ATM,NONE,,False,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
c39dee27-36d6-4174-a737-9f7ba66f82b0,VC3VVGHQFBB3M8R0GH,BATCH_20250317_95,Express Elixir,KIR,PL,PLN,B2B,15416.67,0.0,15416.67,COMPLETED,,2025-03-17T22:38:35,2025-03-17T22:38:36.634000,1634,XXXX94315001,ICICI_BANK,XXXX99062389,ICICI_BANK,USSD,BIOMETRIC,TRANSPORT,False,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
437c7c7e-70d8-42de-a106-f38edfb4af24,2JS8WT0ZUNV7QYJTLLGFDB8,BATCH_20250410_25,Transfiya,ACH Colombia,CO,USD,P2P,754.02,0.0,754.02,COMPLETED,,2025-04-10T17:31:41,2025-04-10T17:31:47.424000,6424,XXXX71626179,COMMBANK,XXXX30087989,JP_MORGAN,MOBILE_APP,MPIN,,True,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
e34115f2-ad5b-4741-8ce6-ceafa3a95f92,R6GGXEU7H9FG18NKC,BATCH_20250501_82,iDEAL 2.0,Currence,NL,USD,P2B,34076.45,0.0,34076.45,COMPLETED,,2025-05-01T02:43:16,2025-05-01T02:43:17.748000,1748,XXXX46354648,ICICI_BANK,XXXX96159078,AXIS_BANK,POS_TERMINAL,BIOMETRIC,UTILITIES,False,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
294f91a4-9d44-4e21-a0a7-8b9ebee9f2d5,R16GSEEYF5L3RPA7B9VBN,BATCH_20250410_42,Bizum,AEB,ES,USD,P2B,468.46,0.0,468.46,COMPLETED,,2025-04-10T18:29:30,2025-04-10T18:29:36.422000,6422,XXXX61827167,JP_MORGAN,XXXX20704010,BRI,WEB_BROWSER,MPIN,GOVERNMENT_FEE,False,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
d4a230c1-1e05-4786-9931-24f2fd389d2a,C8EXZASZGDBKFC22,BATCH_20250310_25,Aani,Al Etihad Payments,AE,USD,P2P,1780.35,0.0,1780.35,COMPLETED,,2025-03-10T12:17:28,2025-03-10T12:17:32.336000,4336,XXXX55024396,HDFC_BANK,XXXX09818959,LLOYDS,MOBILE_APP,MPIN,,False,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
087c2b06-8014-4231-b7b2-b3576778c04e,ZGK1TAUQ0AU7UPGEQQV,BATCH_20250522_45,SARIE,Saudi Payments,SA,USD,P2P,792.53,0.0,792.53,FAILED,BENEFICIARY_NOT_FOUND,2025-05-22T20:51:16,,3274,XXXX60143396,BNP_PARIBAS,XXXX97860884,JP_MORGAN,API_DIRECT,MPIN,,False,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
b1fba588-135e-4367-8eb3-63a65f009b2f,BYGD87SJQT2JF652ZS2,BATCH_20250530_33,InstaPay,BancNet,PH,USD,P2P,361.48,0.0,361.48,FAILED,FRAUD_HOLD,2025-05-30T13:01:11,,1754,XXXX19340836,DEUTSCHE_BANK,XXXX17387213,PKO_BP,ATM,MPIN,,False,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
81fc3819-b606-415c-b677-56b993df2688,RHZ5QPKUECYEZW1M7CCTJBS,BATCH_20250403_53,BI-FAST,Bank Indonesia,ID,IDR,P2B,1205.94,0.0,1205.94,FAILED,INSUFFICIENT_FUNDS,2025-04-03T20:54:06,,2850,XXXX26793441,HDFC_BANK,XXXX13779950,BRI,ATM,MPIN,HEALTHCARE,False,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
eaf6f13d-b0d2-4a5e-9fcb-47d180576a0a,6XPEGXCQ694UMR0F71M5,BATCH_20250403_15,TIPS,Bank of Tanzania,TZ,USD,P2B,305.73,0.0,305.73,PENDING,,2025-04-03T17:43:34,,,XXXX41541042,BARCLAYS,XXXX94717994,JP_MORGAN,ATM,NONE,RETAIL,False,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
7d70affa-f788-4fb1-a963-514c774ab104,W8XUB5LUF0HZ2WJ48B,BATCH_20250330_07,LankaPay,LankaClear,LK,USD,P2P,1040.17,0.0,1040.17,FAILED,BANK_OFFLINE,2025-03-30T18:52:45,,271,XXXX82150316,STATE_BANK,XXXX81560714,AXIS_BANK,MOBILE_APP,HARDWARE_TOKEN,,False,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
22db025c-a5fd-443b-8a53-ba94beb52e31,85SYA3E3U61MQ0GA8D4GTYN,BATCH_20250417_75,iDEAL 2.0,Currence,NL,USD,P2G,25757.51,0.0,25757.51,COMPLETED,,2025-04-17T17:50:26,2025-04-17T17:50:29.039000,3039,XXXX90230395,DEUTSCHE_BANK,XXXX89813674,FIRST_BANK_NG,POS_TERMINAL,OTP,,False,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
cf4ce9b3-46df-4b50-9652-4eaf5a8fc65b,BK4Q1RQHS5NPQ9J7NE5834,BATCH_20250418_60,Virement Instantane,Banque de France,FR,USD,P2G,11072.38,0.0,11072.38,TIMED_OUT,BENEFICIARY_NOT_FOUND,2025-04-18T02:05:44,,30833,XXXX98271287,DBS_BANK,XXXX19069687,FIRST_BANK_NG,USSD,HARDWARE_TOKEN,FOOD_BEVERAGE,False,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
c6027726-9f68-486e-acb5-ddbe7ec88c00,Q95759RVTWC25LEQHK,BATCH_20250513_38,InstaPay,BancNet,PH,USD,P2P,525.83,0.0,525.83,TIMED_OUT,DAILY_LIMIT_EXCEEDED,2025-05-13T13:00:44,,34338,XXXX28795217,BRADESCO,XXXX82166121,FNB_ZA,MOBILE_APP,BIOMETRIC,,False,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
ec8c2dd1-47dc-44ba-ad7a-9c12e1256565,Q7GE1VDTHL890FH1TRL7JP,BATCH_20250302_81,M-PESA,Safaricom,KE,USD,P2B,555.8,0.0,555.8,COMPLETED,,2025-03-02T07:25:10,2025-03-02T07:25:19.748000,9748,XXXX26137684,HDFC_BANK,XXXX83712218,BNP_PARIBAS,WEB_BROWSER,BIOMETRIC,HEALTHCARE,False,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
019024b0-3e0e-4590-8c27-c4e349506806,5KQ66SUDFS0UK9XQSG,BATCH_20250525_72,SARIE,Saudi Payments,SA,USD,P2B,728.67,0.0,728.67,FAILED,INVALID_VPA,2025-05-25T08:24:43,,4275,XXXX30001736,BNP_PARIBAS,XXXX71111179,BNP_PARIBAS,USSD,OTP,HEALTHCARE,False,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
3a1199b5-a629-4e02-b9b4-8344dbf80413,6KP4DRVUE0UZC9ZU,BATCH_20250412_43,SARIE,Saudi Payments,SA,USD,B2B,15891.33,14.35,15876.98,FAILED,INSUFFICIENT_FUNDS,2025-04-12T06:43:17,,529,XXXX55712021,MAYBANK,XXXX19965845,FIRST_BANK_NG,API_DIRECT,NONE,EDUCATION,False,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
d6bd2ea1-741f-4cad-b196-71d3deb1160d,CPZDH03ZZP4NNGTMN05LF9FX,BATCH_20250508_56,CIPS/IBPS,PBoC,CN,USD,G2P,12379.15,0.99,12378.16,COMPLETED,,2025-05-08T21:15:20,2025-05-08T21:15:21.057000,1057,XXXX80361054,DEUTSCHE_BANK,XXXX40317416,BRADESCO,MOBILE_APP,MPIN,UTILITIES,False,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
c1e249eb-94df-4aae-8476-e7651b223192,WPJA26XWCRR8J346,BATCH_20250522_59,FAST,BKM,TR,USD,P2P,2178.64,0.54,2178.1,COMPLETED,,2025-05-22T21:36:09,2025-05-22T21:36:15.721000,6721,XXXX21700429,MAYBANK,XXXX93148692,MAYBANK,USSD,BIOMETRIC,,False,NORMAL,,SYNTHETIC_TEST_DATA,RTP-FULL-SYNTH-v1.0,True
